Player,By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Klay Thompson,2017-18,GSW,73,34.3,20,7.9,16.1,48.9,3.1,7.1,44,1.1,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4
Klay Thompson,2016-17,GSW,78,34,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3,3.7,2.1,1.6,0.8,0.5,1.8,32.2,0,0,10.3
Julius Randle,2018-19,NOP,73,30.6,21.4,7.8,14.9,52.4,0.9,2.7,34.4,4.9,6.7,73.1,2.2,6.5,8.7,3.1,2.8,0.7,0.6,3.4,37.7,31,1,-0.2
Julius Randle,2017-18,LAL,82,26.7,16.1,6.1,11,55.8,0.1,0.5,22.2,3.7,5.2,71.8,2.2,5.8,8,2.6,2.6,0.5,0.5,3.3,30.2,28,1,-1
Julius Randle,2016-17,LAL,74,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27,2.8,3.8,72.3,2,6.6,8.6,3.6,2.3,0.7,0.5,3.4,30,18,3,-6.1
LaMarcus Aldridge,2018-19,SAS,81,33.2,21.3,8.4,16.3,51.9,0.1,0.5,23.8,4.3,5.1,84.7,3.1,6.1,9.2,2.4,1.8,0.5,1.3,2.2,39.7,32,0,1.1
LaMarcus Aldridge,2017-18,SAS,75,33.4,23.1,9.2,18,51,0.4,1.2,29.3,4.5,5.3,83.7,3.3,5.2,8.5,2,1.5,0.6,1.2,2.1,40.2,27,0,3.7
LaMarcus Aldridge,2016-17,SAS,72,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,33.1,18,0,3.8
DeMar DeRozan,2018-19,SAS,77,34.9,21.2,8.2,17.1,48.1,0.1,0.6,15.6,4.8,5.7,83,0.7,5.3,6,6.2,2.6,1.1,0.5,2.3,39.9,12,1,0.1
DeMar DeRozan,2017-18,TOR,80,33.9,23,8.1,17.7,45.6,1.1,3.6,31,5.8,7,82.5,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.4,0,0,5.5
DeMar DeRozan,2016-17,TOR,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,40.7,5,0,2
LeBron James,2018-19,LAL,55,35.2,27.4,10.1,19.9,51,2,5.9,33.9,5.1,7.6,66.5,1,7.4,8.5,8.3,3.6,1.3,0.6,1.7,52,32,8,2.1
LeBron James,2017-18,CLE,82,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,4.2,1.4,0.9,1.7,54.1,52,18,1.3
LeBron James,2016-17,CLE,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5
